time,side,lots,pnl_usd,event
2025-10-03T07:30:02.503171,SELL,0.1,0.0,OPEN
2025-10-03T08:45:02.458694,SELL,0.06,0.0,OPEN
2025-10-03T09:00:00.744271,SELL,0.06,0.0,OPEN
2025-10-03T09:15:01.075992,SELL,0.06,0.0,OPEN
2025-10-03T18:35:16.517011,BUY,0.05,0.0,OPEN
2025-10-03T18:45:00.508766,BUY,0.04,0.0,OPEN
2025-10-03T19:00:02.212930,BUY,0.04,0.0,OPEN
2025-10-03T19:45:01.607570,BUY,0.03,0.0,OPEN
2025-10-03T20:00:00.607996,BUY,0.03,0.0,OPEN
2025-10-03T20:30:00.726832,BUY,0.02,0.0,OPEN
